"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"14725214","CC1=CC2=NC(=C(N2C=C1)C3=CSC(=N3)NCC4=CC=CC=C4)C.Cl","Active",,51.5,"Active",">",40.0,20,28.750932999999993,306.6897948433684,3,1,6,70.46,370.10189528800055,5.389000000000001,0,0.06818181818181818
"14725235","CC(C)(C)C1CCC2=C(C1)SC3=NC(=NC(=C23)N)SCC(=O)N","Active",,33.47,"Active",">",40.0,9,30.888553999999992,303.03585875669586,5,2,8,148.43,350.1235033240006,2.52,0,0.2
"14725310","C=CCC1=CC=CC2=C1OC(=O)C(=C2)C(=O)OCC(=O)C3=CC=CC=C3","Inactive",,,"Inactive",,,16,24.197311999999997,327.85284753560717,3,0,7,73.58000000000001,348.09977361200043,5.028999999999999,0,0.047619047619047616
"14725471","C1CC2=C(C3C4=CC=CC=C4C(=O)N3C5=C(N2)C=C(C=C5)C(=O)C6=CC=CC=C6)C(=O)C1","Active",,24.4,"Active",,28.867,18,27.378139999999995,382.7995288020188,5,1,2,66.48,420.1473925000005,4.041,0,0.07692307692307693
"14725477","CC(C)(C)C(=O)/C(=C\C1=CC(=CC=C1)[N+](=O)[O-])/N2C=NC=N2","Active",,3.41,"Active",,4.332,11,23.005311999999996,270.7493620151507,3,0,9,90.91999999999999,300.1222403720005,2.4190000000000005,0,0.10526315789473684
"14725484","CCCCN1C2=CC=CC=C2N=C1NCC3=CC4=C(C=C3)OCO4","Active",,25.87,"Active",,39.601,15,30.749346999999993,287.16985490909036,2,1,7,48.31,323.16337691200056,4.308000000000002,0,0.13333333333333333
"14725505","C1=CC=C(C=C1)C2=NC(=NN2)SCC(=O)NC3=NC=C(C=C3)Br","Inactive",,,"Active",">",40.0,17,21.606483999999995,276.0653944557621,5,2,6,108.86,388.9945931040004,3.7010000000000005,0,0.02857142857142857
"14725635","CC1=CC(=NN1C2=NC(=NC(=N2)NC3=CC=CC=C3C(F)(F)F)N4C(=CC(=N4)C)C)C","Active",,2.01,"Active",,12.419,22,32.95993299999999,341.26248762318784,6,1,12,86.33999999999999,428.1684772680006,4.336000000000001,0,0.1
"14725926","COC1=C(C=C(C=C1)C2=NC(=C(C=C2)C#N)SCC(=O)OCC3=CC=CC=C3)OC","Active",,26.79,"Inactive",,,18,32.83013999999999,380.62067585991304,4,0,11,106.74000000000001,420.1143781200005,4.0630000000000015,0,0.08
"14726080","COC1=CC=C(C=C1)CCNC2=CC(=NC3=NC=NN23)C4=CC=CC=C4","Active",,27.32,"Inactive",,,21,27.966932999999994,298.8597571483296,4,1,7,64.34,345.1589602280005,3.8680000000000008,0,0.06666666666666667
"14726130","CC(C)C(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=O)O2","Inactive",,,"Inactive",,,16,23.303311999999995,285.6508780748176,3,1,5,72.2,308.11609237200037,3.3160000000000003,0,0.07692307692307693
"14726146","CCCN1N=C(N=N1)NC(=O)COC2=CC=C(C=C2)CC","Active",">",100.0,"Inactive",,,11,26.284932999999995,260.93282829848954,5,1,9,81.93,289.15387484800056,2.832,0,0.15
"14726596","CCC1=C(N2C(=CC(=N2)C3=CC(=CC(=C3)OC)OC)N=C1C)N4CCN(CC4)CCOCC","Active",,38.17,"Active",">",40.0,15,51.27024499999999,421.7295097811862,5,0,14,64.36000000000001,453.273989980001,4.165000000000001,0,0.19117647058823528
"14727378","COC1=CC=C(C=C1)OCC2=CC(=CC=C2)C(=O)NN3C=C(C=N3)[N+](=O)[O-]","Active",,42.9,"Active",">",40.0,17,24.857311999999993,311.6883931914739,3,1,9,108.52000000000001,368.1120696120005,3.8970000000000002,0,0.046511627906976744
"14727389","CN1CCN(CC1)C2=CC3=C(C=C(C=C3)Cl)SC4=C2C=C(C=C4)F.CS(=O)(=O)O.O","Active",,35.5,"Active",,33.115,12,38.65996799999999,397.3591248654526,6,2,6,94.53000000000002,474.0850051480006,4.182999999999999,0,0.1111111111111111
"14727767","CC1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)CN3C(=C(C(=N3)C)Cl)C)C","Active",,48.31,"Active",">",40.0,16,27.798139999999993,312.1009226795238,3,1,9,60.06,357.1244045600006,3.8559999999999994,0,0.1111111111111111
"14727862","COC1=CC2=C(C=C1)C(=O)/C(=C/C=C/C3=CC=CC=C3OC)/CC2","Active",">",100.0,"Inactive",,,12,26.654139999999995,315.5453115360849,1,0,6,35.53,320.14124450000054,4.229000000000001,0,0.09090909090909091
"14727909","CCC(=O)C1=COC2=C1C=C(C=C2)O","Inactive",,,"Inactive",,,9,13.806069999999997,165.48775878141683,1,1,4,50.44,190.06299418,1.707,0,0.08333333333333333
"14727947","CC(=O)C1=CC=CC2=C1NC(=C2O)C3=NC4=CC=CC=C4C3=O","Active",,12.93,"Active",">",40.0,15,17.014483999999996,259.7579606732174,3,2,4,82.52000000000001,304.0847922440003,3.646,0,0.02857142857142857
