PUBCHEM_SID,SMILES,Mtb Activity,IC90 Modifier,IC90,Vero Activity,IC50 Modifier,IC50
3714082,CN(CC(=O)NC1=C(C(=C(C=C1)F)F)F)C2=NC=CN=C2,Active,,13.43,Active,,23.498
3714089,C1CN(CCN1C2C3=CC=CC=C3C4=CC=CC=C24)C(=O)C5=NNC(=O)C6=CC=CC=C65,Inactive,,,Active,>,40
3714226,CCOC(=O)CSC1=C(C(C2=C(N1)CCCC2=O)C3=CC=C(C=C3)C)C#N,Active,>,100,Inactive,,
3714242,CC1=CC=C(C=C1)N2C=CC=C2C(=S)N=P(N(C)C)(N(C)C)N(C)C,Active,,26.14,Active,>,40
3714250,CCC(C)(C)C1=CC=C(C=C1)OCC(CN2CCC(CC2)C(=O)OCC)O,Active,,26.53,Inactive,,
3714332,CN1C2=NN=C(C=C2C(=O)N(C1=O)C)NCC3=CC=CC=C3,Inactive,,,Inactive,,
3714362,CCCSC1=NN=C(S1)SC2=NN=NN2C3=CC=CC=C3,Active,,38.75,Active,,6.833
3714845,C1COC(=CO1)C(=O)OCC(=O)C2=CC=CS2,Active,>,100,Inactive,,
3715180,CC1=C(N2C=CSC2=N1)C3=NC(=CS3)C4=CC5=CC=CC=C5O4,Inactive,,,Inactive,,
3715426,CC1=NN(C2=C1C=C(S2)C(=O)NCCCN3C=CN=C3)CC4=CC=CC=C4Cl,Active,,56.05,Active,>,40
3715536,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)OC3=CC4=C(C=C3)OCO4)C,Active,>,100,Inactive,,
3715735,C=CCN\1C(=O)/C(=C/C2=CC=C(C=C2)Cl)/S/C1=C(/C#N)\C3=NN=C4N3CCCCC4,Inactive,,,Active,,39.983
3715777,C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CS2,Active,>,100,Inactive,,
3715971,CC\1(C2=CC=CC=C2N(/C1=C/C(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C)C)C,Active,,13.1,Active,,19.515
3716019,C1CCN(CC1)C(=O)COC(=O)C2=CC3=CC=CC=C3C=C2O,Active,,3.42,Inactive,,
3716020,CC1=CC(=C(N1C2=NOC(=C2)C)C)C(=O)COC3=CC4=C(C=C3)C=CC(=O)O4,Inactive,,,Active,>,40
3716074,CC1=C(SC2=C1C(=O)N3C(=N2)C4=CC=CC=C4C(=N3)NCC5=CC=CO5)C,Inactive,,,Active,,37.632
3716096,COC1=C(C=C(C(=C1)C(=O)OCC(=O)NCC2=CC=CO2)NC(=O)C3=CC=CS3)OC,Active,>,100,Active,>,40
3716166,CC1CCN(CC1)CC(=O)NC2=CC(=NN2C3=NC(=CC(=N3)C)C)C,Active,,35.27,Inactive,,
3716201,C1=CSC(=C1)C(=O)NC2=NC(=CS2)C3=C(SC(=C3)Cl)Cl,Active,>,100,Active,,25.876
3716284,CCCCN1C2=C(C=C(C=C2)S(=O)(=O)N)N=C1SCC3=NC=C(O3)C4=CC=CC=C4,Active,,8.34,Active,>,40
3716413,C1=CC=C\2C(=C1)C(=N/C2=N\C3=CC=CC=N3)NC4=CC=CC=N4,Active,,3.02,Active,>,40
3716478,CC1=C(SC2=NC=NC(=C12)OC3=CC=C(C=C3)N4C=CN=C4)C,Active,,60.98,Active,>,40
3716576,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)NC(=O)CN4C(=O)C5(CCC6=CC=CC=C65)NC4=O,Active,>,100,Active,,23.55
3716668,CC(CNC1=NC2=CC=CC=C2N1C3=C4C5=C(CCC5)SC4=NC=N3)O,Active,,42.05,Active,,29.558
3716907,C1CCC(CC1)C(=O)OCN2C(=O)C3=CC=CC=C3N=N2,Active,,6.69,Inactive,,
3717011,COC1=CC=C(C=C1)C2=NN3CCC4=NC5=CC=CC=C5N4C3=C2,Inactive,,,Inactive,,
3717451,C1=CSC(=C1)C(=O)CSC2=NC3=C(O2)C=CC(=C3)Cl,Inactive,,,Inactive,,
3717642,CC1=CC(=C(N1C2=CC=CC=C2)C)C3=NN=C4N3CCCCC4,Active,,73.76,Inactive,,
3717778,C1=CC=C(C=C1)OC2=CC=CC(=C2)OCC(=O)NC3=NC=CC=N3,Active,>,100,Inactive,,
4240527,C1=CC=C(C(=C1)CSC2=C(C(=NS2)SCC(=O)N)C#N)Cl,Active,>,100,Inactive,,
4240638,CCOC1=CC=CC2=C1OC(=O)C(=C2)C(=O)NC3=NC=CS3,Active,,15.32,Inactive,,
4240961,C1=CC(=C(C=C1Cl)N)O/C=C\C#N,Active,,23.87,Active,>,40
4240978,CC1=CC(=NC2=C1C=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCO4)N5CCN(CC5)C6=NC=CC=N6,Inactive,,,Active,,24.167
4241602,C1COCCN1C2=NC=NC(=C2)NC(=O)NC3(OC4=C(O3)C=C(C=C4)Cl)C(F)(F)F,Active,,26.92,Inactive,,
4241788,CCOC(=O)C1=CC=C(C=C1)OC2=NC(=NC(=N2)N(C)C)NC(C)(C)C,Active,>,100,Inactive,,
4241889,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Active,,27.56,Active,,30.691
4242369,CCOC(=O)N1CCN(CC1)C(=O)CSC2=NN=C(O2)C3=CC=C(S3)Cl,Active,,29.91,Inactive,,
4242387,CC1=CC2=C(N1)C=CC(=C2)CNC(=O)NC3CCCCC3,Active,,53.66,Inactive,,
4242621,CCCCNC1=NC(=NC(=N1)N(C)C2=CC=CC=C2)N3C=CN=C3,Active,>,100,Inactive,,
4242654,COC1=CC=CC(=C1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Active,,46.01,Active,,19.726
4243018,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CS4,Active,,42.69,Active,,27.838
4243491,CCCCCN1C(=NC2=C1C(=O)NC(=O)N2C)CN3CCN(CC3)C4=CC(=CC=C4)Cl,Inactive,,,Active,>,40
4243601,C1=CC=C2C(=C1)N=C(N2/N=C/C3=CC=C(C=C3)Br)N,Inactive,,,Inactive,,
4243931,CCOC(=O)C1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC,Active,,10.31,Inactive,,
4244225,C1CNCC=C1C2=CNC3=CC=CC=C32,Active,,73.95,Inactive,,
4244239,CCOC(=O)C(C)SC1=NC=NC2=C1N=NN2C3=CC=C(C=C3)F,Active,,9.68,Inactive,,
4244616,CCOC(=O)C1=C(C2=C(S1)N=C3CCC(CCN3C2=O)C)C,Active,,26.38,Inactive,,
4244682,CC1=C(C=C(C=C1)C2=CN3C=CC=NC3=N2)NC(=O)C4=CC=C(O4)Br,Inactive,,,Inactive,,
4245391,CC(C)(C)NC1=NC(=NC(=N1)N2C=CN=C2)NC(C)(C)C,Active,,98.46,Inactive,,
4245399,CC1=CC(=NN1CC2=CC=C(C=C2)Cl)NC(=O)C3=NOC4=C3CCCC4,Inactive,,,Inactive,,
4245785,C1=CC=C(C=C1)C2=NC3=C4C=CC=CC4=NC(=S)N3N2,Active,,24.55,Active,,35.205
4245879,C1CN(CCN1C2=CC=CC=N2)C(=O)CCCCCNC3=NC(=S)NC4=CC=CC=C43,Active,>,100,Active,>,40
4246180,CCC(=O)N1C(CC2=C1C=CC(=C2)S(=O)(=O)CCC(=O)N3CCN4C3=NC5=CC=CC=C54)C,Active,,27.49,Active,>,40
4246347,CCCC1CCC(CC1)C(=O)NN2C(=NC3=CC=CC=C3C2=O)C,Inactive,,,Inactive,,
4246655,CCOC(=O)COC1=CC2=C(C=C1)OC(CC2=O)(C)C3=CN=CC=C3,Active,,32.45,Inactive,,
4246714,CC1=CC=C(C=C1)N2C3=C(C(=O)OC4=CC=CC=C43)N=N2,Active,>,100,Inactive,,
4246731,CCN1C(=O)C2=C(CC(S2)C)N=C1SCC(=O)NC3=NC4=C(S3)C=C(C=C4)C,Inactive,,,Active,>,40
4247171,CC1=CC=CC=C1C2=NC(=C(O2)C)CN3CCC(CC3)C(=O)NCCC4=CCCCC4,Inactive,,,Active,>,40
4247473,C1CN(CCN1C2=NN3C(=NN=C3C4=CC=C(C=C4)F)C=C2)C(=O)NC5=CC=C(C=C5)Cl,Active,,51.79,Active,,19.314
4247659,C1CCN(CC1)C(=O)CN2CC(=O)OC3=CC=CC=C32,Active,,27.05,Active,,38.611
4247907,C1=CC=C2C(=C1)N=C3C(=C4C=CC=CC4=C3N2O)N=O,Active,,13.7,Active,>,40
